param,Evaluation Value,Iw-AUC,Bw-AUC,Iw-TNF,Iw-FPF,Iw-FNF,Bw-TPF,Bw-TNF,Bw-FPF,Bw-FNF
Gaussian:7 9 9 5 relu sigmoid Adam,1.99977001,0.957108712,0.993358491,0.394312197,0.570669278,0.721329827,0.188454748,0.666692772,0.237457773,0.664551307
Gaussian:7 Gaussian:7 Gaussian:7 5 9 5 softmax sigmoid AdaGrad,1.999023138,0.160613913,0.765422575,0.746573054,0.162752835,0.244253007,0.166756273,0.149931413,0.620054365,0.0408466
Gaussian:7 Gaussian:7 5 5 5 tanh softmax AdaGrad,1.998746513,0.019190771,0.051555008,0.657808291,0.589880586,0.178182082,0.15252173,0.950547587,0.946948071,0.920212136
Gaussian:7 Gaussian:7 Gaussian:7 7 7 1 softmax relu AdaGrad,1.997661251,0.33072627,0.52337651,0.608579551,0.541525197,0.540103379,0.413254679,0.388463148,0.923031684,0.427610926
Gaussian:7 7 5 5 sigmoid softmax Adam,1.997547799,0.187850297,0.506340119,0.341892664,0.478145311,0.377618964,0.426537612,0.032599754,0.688638936,0.46804214
Gaussian:7 Gaussian:7 3 7 3 relu tanh AdaGrad,1.996442762,0.761030251,0.665597782,0.812604169,0.894111553,0.319388379,0.735945023,0.394964693,0.11708731,0.531777792
Gaussian:7 Gaussian:7 7 5 5 relu softmax Adam,1.996265496,0.510454235,0.20215438,0.15609413,0.399416025,0.320826173,0.225787973,0.86241394,0.081994166,0.73043718
Gaussian:7 7 9 3 sigmoid sigmoid Adam,1.995562917,0.580430565,0.922711893,0.429860233,0.983066779,0.376033944,0.330187941,0.269183374,0.941502454,0.134977056
Gaussian:7 Gaussian:7 Gaussian:7 9 7 1 tanh sigmoid AdaGrad,1.994323733,0.461289121,0.900944754,0.484235801,0.624464198,0.191659627,0.13368167,0.3680138,0.567852655,0.75836166
Gaussian:7 7 7 5 softmax sigmoid RMSProp,1.991944193,0.97250074,0.288722494,0.962907443,0.783434739,0.390637121,0.16612018,0.385288277,0.671035393,0.997928374
Gaussian:7 5 5 1 tanh tanh Adam,1.989866458,0.487336044,0.740249415,0.93077619,0.488991829,0.753534545,0.90531235,0.050483969,0.472271727,0.386655675
Gaussian:7 Gaussian:7 3 5 1 softmax softmax AdaGrad,1.987557039,0.906758865,0.725689125,0.383461508,0.664229101,0.800233154,0.199161455,0.000391586,0.196097632,0.210489556
Gaussian:7 5 3 1 relu sigmoid AdaGrad,1.986934791,0.700662032,0.073289221,0.731757944,0.446517466,0.869036672,0.797216825,0.499089705,0.112363333,0.938447669
Gaussian:7 Gaussian:7 3 7 5 softmax tanh RMSProp,1.986859209,0.912069731,0.253715942,0.858438076,0.40915225,0.631714586,0.40222905,0.240785757,0.263970195,0.641010691
Gaussian:7 Gaussian:7 Gaussian:7 5 7 5 relu tanh RMSProp,1.986388363,0.1162793,0.173314952,0.859546047,0.723116198,0.93479118,0.555901783,0.570030266,0.905325434,0.573720586
Gaussian:7 Gaussian:7 Gaussian:7 3 9 5 sigmoid softmax RMSProp,1.986072771,0.754888311,0.129505181,0.14737049,0.34056588,0.778459744,0.769654415,0.257563791,0.368212183,0.249972418
Gaussian:7 Gaussian:7 3 5 3 tanh tanh Adam,1.986009795,0.751967574,0.626294997,0.479791688,0.084460876,0.527791574,0.977762957,0.598389033,0.257178136,0.285188223
Gaussian:7 7 3 5 tanh relu RMSProp,1.985686725,0.876994301,0.059287748,0.133043089,0.677120549,0.000446505,0.663872477,0.40473025,0.267419327,0.261749996
Gaussian:7 Gaussian:7 Gaussian:7 3 5 1 softmax relu AdaGrad,1.983489947,0.590343867,0.907116819,0.614008699,0.320246274,0.154842603,0.023670796,0.48061056,0.823267784,0.825022388
Gaussian:7 7 7 3 tanh relu RMSProp,1.982767809,0.253412228,0.617956678,0.191342005,0.871812304,0.773375623,0.887589896,0.14231252,0.018682558,0.228393288
Gaussian:7 Gaussian:7 3 3 1 relu relu RMSProp,1.982502202,0.56436374,0.781504038,0.742289568,0.569308812,0.063283312,0.407386595,0.279072454,0.247561676,0.210141332
Gaussian:7 Gaussian:7 9 3 5 tanh tanh RMSProp,1.980522859,0.307052095,0.72792413,0.845465303,0.385828517,0.114114429,0.247872873,0.722489298,0.068629425,0.716983681
Gaussian:7 Gaussian:7 3 3 5 relu sigmoid RMSProp,1.980359104,0.727518042,0.125522058,0.085160947,0.148831498,0.568381285,0.093662014,0.790074638,0.283135273,0.470176636
