CONS_NO,DATA_DATE,KWH
1,2015/1/1,6.68
1,2015/1/2,2.5
1,2015/1/3,5.2
1,2015/1/4,4.17
1,2015/1/5,4.89
1,2015/1/6,5.26
1,2015/1/7,4.11
1,2015/1/8,3.7
1,2015/1/9,3.74
1,2015/1/10,5.83
1,2015/1/11,5.17
1,2015/1/12,2.53
1,2015/1/13,3.2
1,2015/1/14,4.48
1,2015/1/15,2.81
1,2015/1/16,1.95
1,2015/1/17,3.21
1,2015/1/18,5.41
1,2015/1/19,3.52
1,2015/1/20,5.33
1,2015/1/21,3.44
1,2015/1/22,4.04
1,2015/1/23,4.54
1,2015/1/24,4.61
1,2015/1/25,4.41
1,2015/1/26,4.2
1,2015/1/27,8.37
1,2015/1/28,2.86
1,2015/1/29,3.89
1,2015/1/30,4.53
1,2015/1/31,3.43
1,2015/2/1,4.14
1,2015/2/2,4.27
1,2015/2/3,4.12
1,2015/2/4,4.29
1,2015/2/5,4.34
1,2015/2/6,3.84
1,2015/2/7,4.21
1,2015/2/8,5.39
1,2015/2/9,5.43
1,2015/2/10,3.34
1,2015/2/11,1.35
1,2015/2/12,1.09
1,2015/2/13,1.1
1,2015/2/14,3.59
1,2015/2/15,3.05
1,2015/2/16,1.31
1,2015/2/17,1.71
1,2015/2/18,0.83
1,2015/2/19,0.78
1,2015/2/20,0.94
1,2015/2/21,0.88
1,2015/2/22,0.84
1,2015/2/23,0.85
1,2015/2/24,2.26
1,2015/2/25,1.93
1,2015/2/26,2.24
1,2015/2/27,2.21
1,2015/2/28,5.43
1,2015/3/1,4.74
1,2015/3/2,4.81
1,2015/3/3,2.62
1,2015/3/4,3.87
1,2015/3/5,2.08
1,2015/3/6,4.83
1,2015/3/7,3.33
1,2015/3/8,2.15
1,2015/3/9,3.43
1,2015/3/10,1.9
1,2015/3/11,2.03
1,2015/3/12,2.11
1,2015/3/13,4.16
1,2015/3/14,4.8
1,2015/3/15,2.66
1,2015/3/16,3.25
1,2015/3/17,3.55
1,2015/3/18,2.64
1,2015/3/19,4.39
1,2015/3/20,4.07
1,2015/3/21,2.54
1,2015/3/22,4.23
1,2015/3/23,3.35
1,2015/3/24,1.64
1,2015/3/25,2.75
1,2015/3/26,4.31
1,2015/3/27,3.05
1,2015/3/28,1.09
1,2015/3/29,3.82
1,2015/3/30,4.89
1,2015/3/31,2.29
1,2015/4/1,3.59
1,2015/4/2,2.15
1,2015/4/3,1.48
1,2015/4/4,1.17
1,2015/4/5,0.78
1,2015/4/6,1.63
1,2015/4/7,1.67
1,2015/4/8,3.47
1,2015/4/9,2.99
1,2015/4/10,3.49
1,2015/4/11,4.61
1,2015/4/12,4.88
1,2015/4/13,3.23
1,2015/4/14,1.65
1,2015/4/15,2.4
1,2015/4/16,1.46
1,2015/4/17,1.73
1,2015/4/18,2.74
1,2015/4/19,2.03
1,2015/4/20,1.31
1,2015/4/21,2.49
1,2015/4/22,2.56
1,2015/4/23,2.91
1,2015/4/24,3.64
1,2015/4/25,3.84
1,2015/4/26,2.92
1,2015/4/27,1.81
1,2015/4/28,2.07
1,2015/4/29,2.52
1,2015/4/30,1.28
1,2015/5/1,0.79
1,2015/5/2,0.84
1,2015/5/3,1.32
1,2015/5/4,2.11
1,2015/5/5,1.76
1,2015/5/6,1.72
1,2015/5/7,1.62
1,2015/5/8,0.97
1,2015/5/9,2.37
1,2015/5/10,4.01
1,2015/5/11,3.32
1,2015/5/12,2.05
1,2015/5/13,1.83
1,2015/5/14,1.19
1,2015/5/15,1.18
1,2015/5/21,1.22
1,2015/5/22,0.15
1,2015/5/23,1.73
1,2015/5/24,2.43
1,2015/5/25,1.02
1,2015/5/26,2.86
1,2015/5/27,2.21
1,2015/5/28,2.65
1,2015/5/29,3.71
1,2015/5/30,2.37
1,2015/5/31,2.74
1,2015/6/1,2.52
1,2015/6/2,3.18
1,2015/6/3,3.06
1,2015/6/4,3.26
1,2015/6/5,4.12
1,2015/6/6,2.01
1,2015/6/7,4.04
1,2015/6/8,2.79
1,2015/6/9,1.69
1,2015/6/11,1.69
1,2015/6/12,1.74
1,2015/6/13,1.9
1,2015/6/14,1.63
1,2015/6/15,2.56
1,2015/6/16,2.35
1,2015/6/17,2.04
1,2015/6/18,1.9
1,2015/6/19,2.01
1,2015/6/20,2.09
1,2015/6/21,3.31
1,2015/6/22,2.61
1,2015/6/23,1.91
1,2015/6/24,2.75
1,2015/6/25,4.66
1,2015/6/26,2.53
1,2015/6/27,2.09
1,2015/6/28,3.81
1,2015/6/29,2.76
1,2015/6/30,3.42
1,2015/7/1,2.84
1,2015/7/2,4.45
1,2015/7/3,2.63
1,2015/7/4,1.54
1,2015/7/5,6.47
1,2015/7/6,3.08
1,2015/7/7,3.4
1,2015/7/8,2.72
1,2015/7/9,1.88
1,2015/7/10,1.97
1,2015/7/11,9.69
1,2015/7/12,5.78
1,2015/7/13,12.44
1,2015/7/14,8.36
1,2015/7/15,9.02
1,2015/7/16,3.06
1,2015/7/17,6.04
1,2015/7/18,7.25
1,2015/7/19,12.61
1,2015/7/20,16.4
1,2015/7/21,8.46
1,2015/7/22,3.67
1,2015/7/23,8.09
1,2015/7/24,8.22
1,2015/7/25,9.47
1,2015/7/26,19.89
1,2015/7/27,14.47
1,2015/7/28,17.31
1,2015/7/29,25.11
1,2015/7/30,24.2
1,2015/7/31,24.79
1,2015/8/1,15.12
1,2015/8/2,23.72
1,2015/8/3,11.83
1,2015/8/4,4.51
1,2015/8/5,4.58
1,2015/8/6,4.39
1,2015/8/7,11.48
1,2015/8/8,10.95
1,2015/8/9,10.65
1,2015/8/10,6.3
1,2015/8/11,6.74
1,2015/8/12,5.51
1,2015/8/13,5.68
1,2015/8/14,13.12
1,2015/8/15,5.78
1,2015/8/16,6.96
1,2015/8/17,11.56
1,2015/8/18,5.95
1,2015/8/19,4.29
1,2015/8/20,4.55
1,2015/8/21,5.68
1,2015/8/22,5.3
1,2015/8/23,5.93
1,2015/8/24,5.12
1,2015/8/25,4.38
1,2015/8/26,4.39
